20260227:012843,1,2,0.10,0.10,0.00,0.00,0.00,0,0,0
20260227:012843,1,2,0.10,0.10,0.00,0.00,0.00,0,0,0
20260227:012843,1,2,0.10,0.10,0.00,0.00,0.00,0,0,0
20260227:012843,1,2,0.10,0.10,0.00,0.00,0.00,0,0,0
20260227:012843,1,2,0.10,0.10,0.00,0.00,0.00,0,0,0
20260227:012843,1,2,0.10,0.10,0.00,0.00,0.00,0,0,0
20260227:012843,1,2,0.10,0.10,0.00,0.00,0.00,0,0,0
20260227:012843,1,2,0.10,0.10,0.00,0.00,0.00,0,0,0
20260227:012843,1,2,0.10,0.10,0.00,0.00,0.00,0,0,0
20260227:012843,1,2,0.10,0.10,0.00,0.00,0.00,0,0,0
20260227:012843,1,2,0.10,0.10,0.00,0.00,0.00,0,0,0
20260227:012843,1,2,0.10,0.10,0.00,0.00,0.00,0,0,0
20260227:012843,1,2,0.10,0.10,0.00,0.00,0.00,0,0,0
20260227:012843,1,2,0.10,0.10,0.00,0.00,0.00,0,0,0
20260227:012843,1,2,0.10,0.10,0.00,0.00,0.00,0,0,0
20260227:012843,1,2,0.10,0.10,0.00,0.00,0.00,0,0,0
20260227:012843,1,2,0.10,0.10,0.00,0.00,0.00,0,0,0
20260227:012843,1,2,0.10,0.10,0.00,0.00,0.00,0,0,0
20260227:012843,1,2,0.10,0.10,0.00,0.00,0.00,0,0,0
20260227:012843,1,2,0.10,0.10,0.00,0.00,0.00,0,0,0
20260227:012843,1,2,0.10,0.10,0.00,0.00,0.00,0,0,0
20260227:012843,1,2,0.10,0.10,0.00,0.00,0.00,0,0,0
20260227:012843,1,2,0.10,0.10,0.00,0.00,0.00,0,0,0
20260227:012843,1,2,0.10,0.10,0.00,0.00,0.00,0,0,0
20260227:012843,1,2,0.10,0.10,0.00,0.00,0.00,0,0,0
20260227:012843,1,2,0.10,0.10,0.00,0.00,0.00,0,0,0
20260227:012843,1,2,0.10,0.10,0.00,0.00,0.00,0,0,0
20260227:012843,1,2,0.10,0.10,0.00,0.00,0.00,0,0,0
20260227:012843,1,2,0.10,0.10,0.00,0.00,0.00,0,0,0
20260227:012843,1,2,0.10,0.10,0.00,0.00,0.00,0,0,0
20260227:012843,1,2,0.10,0.10,0.00,0.00,0.00,0,0,0
20260227:012843,1,2,0.10,0.10,0.00,0.00,0.00,0,0,0
20260227:012843,1,2,0.10,0.10,0.00,0.00,0.00,0,0,0
20260227:012843,1,2,0.10,0.10,0.00,0.00,0.00,0,0,0
20260227:012843,1,2,0.10,0.10,0.00,0.00,0.00,0,0,0
20260227:012843,1,2,0.10,0.10,0.00,0.00,0.00,0,0,0
20260227:012843,1,2,0.10,0.10,0.00,0.00,0.00,0,0,0
20260227:012843,1,2,0.10,0.10,0.00,0.00,0.00,0,0,0
20260227:012843,1,2,0.10,0.10,0.00,0.00,0.00,0,0,0
20260227:012843,1,2,0.10,0.10,0.00,0.00,0.00,0,0,0
20260227:012843,1,2,0.10,0.10,0.00,0.00,0.00,0,0,0
20260227:012843,1,2,0.10,0.10,0.00,0.00,0.00,0,0,0
20260227:012843,1,2,0.10,0.10,0.00,0.00,0.00,0,0,0
20260227:012843,1,2,0.10,0.10,0.00,0.00,0.00,0,0,0
20260227:012843,1,2,0.10,0.10,0.00,0.00,0.00,0,0,0
20260227:012843,1,2,0.10,0.10,0.00,0.00,0.00,0,0,0
20260227:012843,1,2,0.10,0.10,0.00,0.00,0.00,0,0,0
20260227:012843,1,2,0.10,0.10,0.00,0.00,0.00,0,0,0
20260227:012843,1,2,0.10,0.10,0.00,0.00,0.00,0,0,0
20260227:012843,1,2,0.10,0.10,0.00,0.00,0.00,0,0,0
20260227:012843,1,2,0.10,0.10,0.00,0.00,0.00,0,0,0
20260227:012843,1,2,0.10,0.10,0.00,0.00,0.00,0,0,0
20260227:012843,1,2,0.10,0.10,0.00,0.00,0.00,0,0,0
20260227:012843,1,2,0.10,0.10,0.00,0.00,0.00,0,0,0
20260227:012843,1,2,0.10,0.10,0.00,0.00,0.00,0,0,0
20260227:012843,1,2,0.10,0.10,0.00,0.00,0.00,0,0,0
20260227:012843,1,2,0.10,0.10,0.00,0.00,0.00,0,0,0
20260227:012843,1,2,0.10,0.10,0.00,0.00,0.00,0,0,0
20260227:012843,1,2,0.10,0.10,0.00,0.00,0.00,0,0,0
20260227:012843,1,2,0.10,0.10,0.00,0.00,0.00,0,0,0
20260227:012843,1,2,0.10,0.10,0.00,0.00,0.00,0,0,0
20260227:012843,1,2,0.10,0.10,0.00,0.00,0.00,0,0,0
20260227:012843,1,2,0.10,0.10,0.00,0.00,0.00,0,0,0
20260227:012843,1,2,0.10,0.10,0.00,0.00,0.00,0,0,0
20260227:012843,1,2,0.10,0.10,0.00,0.00,0.00,0,0,0
20260227:012843,1,2,0.10,0.10,0.00,0.00,0.00,0,0,0
20260227:012843,1,2,0.10,0.10,0.00,0.00,0.00,0,0,0
20260227:012843,1,2,0.10,0.10,0.00,0.00,0.00,0,0,0
20260227:012843,1,2,0.10,0.10,0.00,0.00,0.00,0,0,0
20260227:012843,1,2,0.10,0.10,0.00,0.00,0.00,0,0,0
20260227:012843,1,2,0.10,0.10,0.00,0.00,0.00,0,0,0
20260227:012843,1,2,0.10,0.10,0.00,0.00,0.00,0,0,0
20260227:012843,1,2,0.10,0.10,0.00,0.00,0.00,0,0,0
20260227:012843,1,2,0.10,0.10,0.00,0.00,0.00,0,0,0
20260227:012843,1,2,0.10,0.10,0.00,0.00,0.00,0,0,0
20260227:012843,1,2,0.10,0.10,0.00,0.00,0.00,0,0,0
20260227:012843,1,2,0.10,0.10,0.00,0.00,0.00,0,0,0
20260227:012843,1,2,0.10,0.10,0.00,0.00,0.00,0,0,0
20260227:012843,1,2,0.10,0.10,0.00,0.00,0.00,0,0,0
20260227:012843,1,2,0.10,0.10,0.00,0.00,0.00,0,0,0
20260227:012843,1,2,0.10,0.10,0.00,0.00,0.00,0,0,0
20260227:012843,1,2,0.10,0.10,0.00,0.00,0.00,0,0,0
20260227:012843,1,2,0.10,0.10,0.00,0.00,0.00,0,0,0
20260227:012843,1,2,0.10,0.10,0.00,0.00,0.00,0,0,0
20260227:012843,1,2,0.10,0.10,0.00,0.00,0.00,0,0,0
20260227:012843,1,2,0.10,0.10,0.00,0.00,0.00,0,0,0
20260227:012843,1,2,0.10,0.10,0.00,0.00,0.00,0,0,0
20260227:012843,1,2,0.10,0.10,0.00,0.00,0.00,0,0,0
20260227:012843,1,2,0.10,0.10,0.00,0.00,0.00,0,0,0
20260227:012843,1,2,0.10,0.10,0.00,0.00,0.00,0,0,0
20260227:012843,1,2,0.10,0.10,0.00,0.00,0.00,0,0,0
20260227:012843,1,2,0.10,0.10,0.00,0.00,0.00,0,0,0
20260227:012843,1,2,0.10,0.10,0.00,0.00,0.00,0,0,0
20260227:012843,1,2,0.10,0.10,0.00,0.00,0.00,0,0,0
20260227:012843,1,2,0.10,0.10,0.00,0.00,0.00,0,0,0
20260227:012843,1,2,0.10,0.10,0.00,0.00,0.00,0,0,0
20260227:012843,1,2,0.10,0.10,0.00,0.00,0.00,0,0,0
20260227:012843,1,2,0.10,0.10,0.00,0.00,0.00,0,0,0
20260227:012843,1,2,0.10,0.10,0.00,0.00,0.00,0,0,0
20260227:012843,1,2,0.10,0.10,0.00,0.00,0.00,0,0,0
20260227:012843,1,2,0.10,0.10,0.00,0.00,0.00,0,0,0
20260227:012843,1,2,0.10,0.10,0.00,0.00,0.00,0,0,0
20260227:012843,1,2,0.10,0.10,0.00,0.00,0.00,0,0,0
20260227:012843,1,2,0.10,0.10,0.00,0.00,0.00,0,0,0
20260227:012843,1,2,0.10,0.10,0.00,0.00,0.00,0,0,0
20260227:012843,1,2,0.10,0.10,0.00,0.00,0.00,0,0,0
20260227:012843,1,2,0.10,0.10,0.00,0.00,0.00,0,0,0
20260227:012843,1,2,0.10,0.10,0.00,0.00,0.00,0,0,0
20260227:012843,1,2,0.10,0.10,0.00,0.00,0.00,0,0,0
20260227:012843,1,2,0.10,0.10,0.00,0.00,0.00,0,0,0
20260227:012843,1,2,0.10,0.10,0.00,0.00,0.00,0,0,0
20260227:012843,1,2,0.10,0.10,0.00,0.00,0.00,0,0,0
20260227:012843,1,2,0.10,0.10,0.00,0.00,0.00,0,0,0
20260227:012843,1,2,0.10,0.10,0.00,0.00,0.00,0,0,0
20260227:012843,1,2,0.10,0.10,0.00,0.00,0.00,0,0,0
20260227:012843,1,2,0.10,0.10,0.00,0.00,0.00,0,0,0
20260227:012843,1,2,0.10,0.10,0.00,0.00,0.00,0,0,0
20260227:012843,1,2,0.10,0.10,0.00,0.00,0.00,0,0,0
20260227:012843,1,2,0.10,0.10,0.00,0.00,0.00,0,0,0
20260227:012843,1,2,0.10,0.10,0.00,0.00,0.00,0,0,0
20260227:012843,1,2,0.10,0.10,0.00,0.00,0.00,0,0,0
20260227:012843,1,2,0.10,0.10,0.00,0.00,0.00,0,0,0
20260227:012843,1,2,0.10,0.10,0.00,0.00,0.00,0,0,0
20260227:012843,1,2,0.10,0.10,0.00,0.00,0.00,0,0,0
20260227:012843,1,2,0.10,0.10,0.00,0.00,0.00,0,0,0
20260227:012843,1,2,0.10,0.10,0.00,0.00,0.00,0,0,0
20260227:012843,1,2,0.10,0.10,0.00,0.00,0.00,0,0,0
20260227:012843,1,2,0.10,0.10,0.00,0.00,0.00,0,0,0
20260227:012843,1,2,0.10,0.10,0.00,0.00,0.00,0,0,0
20260227:012843,1,2,0.10,0.10,0.00,0.00,0.00,0,0,0
20260227:012843,1,2,0.10,0.10,0.00,0.00,0.00,0,0,0
20260227:012843,1,2,0.10,0.10,0.00,0.00,0.00,0,0,0
20260227:012843,1,2,0.10,0.10,0.00,0.00,0.00,0,0,0
20260227:012843,1,2,0.10,0.10,0.00,0.00,0.00,0,0,0
20260227:012843,1,2,0.10,0.10,0.00,0.00,0.00,0,0,0
20260227:012843,1,2,0.10,0.10,0.00,0.00,0.00,0,0,0
20260227:012843,1,2,0.10,0.10,0.00,0.00,0.00,0,0,0
20260227:012843,1,2,0.10,0.10,0.00,0.00,0.00,0,0,0
20260227:012843,1,2,0.10,0.10,0.00,0.00,0.00,0,0,0
20260227:012843,1,2,0.10,0.10,0.00,0.00,0.00,0,0,0
20260227:012843,1,2,0.10,0.10,0.00,0.00,0.00,0,0,0
20260227:012843,1,2,0.10,0.10,0.00,0.00,0.00,0,0,0
20260227:012843,1,2,0.10,0.10,0.00,0.00,0.00,0,0,0
20260227:012843,1,2,0.10,0.10,0.00,0.00,0.00,0,0,0
20260227:012843,1,2,0.10,0.10,0.00,0.00,0.00,0,0,0
20260227:012843,1,2,0.10,0.10,0.00,0.00,0.00,0,0,0
20260227:012843,1,2,0.10,0.10,0.00,0.00,0.00,0,0,0
20260227:012843,1,2,0.10,0.10,0.00,0.00,0.00,0,0,0
20260227:012843,1,2,0.10,0.10,0.00,0.00,0.00,0,0,0
20260227:012843,1,2,0.10,0.10,0.00,0.00,0.00,0,0,0
20260227:012843,1,2,0.10,0.10,0.00,0.00,0.00,0,0,0
20260227:012843,1,2,0.10,0.10,0.00,0.00,0.00,0,0,0
20260227:012843,1,2,0.10,0.10,0.00,0.00,0.00,0,0,0
20260227:012843,1,2,0.10,0.10,0.00,0.00,0.00,0,0,0
20260227:012843,1,2,0.10,0.10,0.00,0.00,0.00,0,0,0
20260227:012843,1,2,0.10,0.10,0.00,0.00,0.00,0,0,0
20260227:012843,1,2,0.10,0.10,0.00,0.00,0.00,0,0,0
20260227:012843,1,2,0.10,0.10,0.00,0.00,0.00,0,0,0
20260227:012843,1,2,0.10,0.10,0.00,0.00,0.00,0,0,0
20260227:012843,1,2,0.10,0.10,0.00,0.00,0.00,0,0,0
20260227:012843,1,2,0.10,0.10,0.00,0.00,0.00,0,0,0
20260227:012843,1,2,0.10,0.10,0.00,0.00,0.00,0,0,0
20260227:012843,1,2,0.10,0.10,0.00,0.00,0.00,0,0,0
20260227:012843,1,2,0.10,0.10,0.00,0.00,0.00,0,0,0
20260227:012843,1,2,0.10,0.10,0.00,0.00,0.00,0,0,0
20260227:012843,1,2,0.10,0.10,0.00,0.00,0.00,0,0,0
20260227:012843,1,2,0.10,0.10,0.00,0.00,0.00,0,0,0
20260227:012843,1,2,0.10,0.10,0.00,0.00,0.00,0,0,0
20260227:012843,1,2,0.10,0.10,0.00,0.00,0.00,0,0,0
20260227:012843,1,2,0.10,0.10,0.00,0.00,0.00,0,0,0
20260227:012843,1,2,0.10,0.10,0.00,0.00,0.00,0,0,0
20260227:012843,1,2,0.10,0.10,0.00,0.00,0.00,0,0,0
20260227:012843,1,2,0.10,0.10,0.00,0.00,0.00,0,0,0
20260227:012843,1,2,0.10,0.10,0.00,0.00,0.00,0,0,0
20260227:012843,1,2,0.10,0.10,0.00,0.00,0.00,0,0,0
20260227:012843,1,2,0.10,0.10,0.00,0.00,0.00,0,0,0
20260227:012843,1,2,0.10,0.10,0.00,0.00,0.00,0,0,0
20260227:012843,1,2,0.10,0.10,0.00,0.00,0.00,0,0,0
20260227:012843,1,2,0.10,0.10,0.00,0.00,0.00,0,0,0
20260227:012843,1,2,0.10,0.10,0.00,0.00,0.00,0,0,0
20260227:012843,1,2,0.10,0.10,0.00,0.00,0.00,0,0,0
20260227:012843,1,2,0.10,0.10,0.00,0.00,0.00,0,0,0
20260227:012843,1,2,0.10,0.10,0.00,0.00,0.00,0,0,0
20260227:012843,1,2,0.10,0.10,0.00,0.00,0.00,0,0,0
20260227:012843,1,2,0.10,0.10,0.00,0.00,0.00,0,0,0
20260227:012843,1,2,0.10,0.10,0.00,0.00,0.00,0,0,0
20260227:012843,1,2,0.10,0.10,0.00,0.00,0.00,0,0,0
20260227:012843,1,2,0.10,0.10,0.00,0.00,0.00,0,0,0
20260227:012843,1,2,0.10,0.10,0.00,0.00,0.00,0,0,0
20260227:012843,1,2,0.10,0.10,0.00,0.00,0.00,0,0,0
20260227:012843,1,2,0.10,0.10,0.00,0.00,0.00,0,0,0
20260227:012843,1,2,0.10,0.10,0.00,0.00,0.00,0,0,0
20260227:012843,1,2,0.10,0.10,0.00,0.00,0.00,0,0,0
20260227:012843,1,2,0.10,0.10,0.00,0.00,0.00,0,0,0
20260227:012843,1,2,0.10,0.10,0.00,0.00,0.00,0,0,0
20260227:012843,1,2,0.10,0.10,0.00,0.00,0.00,0,0,0
20260227:012843,1,2,0.10,0.10,0.00,0.00,0.00,0,0,0
20260227:012843,1,2,0.10,0.10,0.00,0.00,0.00,0,0,0
20260227:012843,1,2,0.10,0.10,0.00,0.00,0.00,0,0,0
20260227:012843,1,2,0.10,0.10,0.00,0.00,0.00,0,0,0
20260227:012843,1,2,0.10,0.10,0.00,0.00,0.00,0,0,0
20260227:012843,1,2,0.10,0.10,0.00,0.00,0.00,0,0,0
20260227:012843,1,2,0.10,0.10,0.00,0.00,0.00,0,0,0
20260227:012843,1,2,0.10,0.10,0.00,0.00,0.00,0,0,0
20260227:012843,1,2,0.10,0.10,0.00,0.00,0.00,0,0,0
20260227:012843,1,2,0.10,0.10,0.00,0.00,0.00,0,0,0
20260227:012843,1,2,0.10,0.10,0.00,0.00,0.00,0,0,0
20260227:012843,1,2,0.10,0.10,0.00,0.00,0.00,0,0,0
20260227:012843,1,2,0.10,0.10,0.00,0.00,0.00,0,0,0
20260227:012843,1,2,0.10,0.10,0.00,0.00,0.00,0,0,0
20260227:012843,1,2,0.10,0.10,0.00,0.00,0.00,0,0,0
20260227:012843,1,2,0.10,0.10,0.00,0.00,0.00,0,0,0
20260227:012843,1,2,0.10,0.10,0.00,0.00,0.00,0,0,0
20260227:012843,1,2,0.10,0.10,0.00,0.00,0.00,0,0,0
20260227:012843,1,2,0.10,0.10,0.00,0.00,0.00,0,0,0
20260227:012843,1,2,0.10,0.10,0.00,0.00,0.00,0,0,0
20260227:012843,1,2,0.10,0.10,0.00,0.00,0.00,0,0,0
20260227:012843,1,2,0.10,0.10,0.00,0.00,0.00,0,0,0
20260227:012843,1,2,0.10,0.10,0.00,0.00,0.00,0,0,0
20260227:012843,1,2,0.10,0.10,0.00,0.00,0.00,0,0,0
